datetime, open, high, low, close, volume,
2023-01-01 00:00:00, 16531.83, 16532.69, 16509.11, 16510.82, 231.05338022,
2023-01-01 00:15:00, 16509.78, 16534.66, 16509.11, 16533.43, 308.12276951,
2023-01-01 00:30:00, 16533.77, 16533.78, 16498.05, 16506.5, 411.23244649,
2023-01-01 00:45:00, 16506.46, 16526.38, 16505.49, 16519.81, 193.34115806,
2023-01-01 01:00:00, 16519.84, 16532.8, 16517.01, 16528.84, 217.03935607,
2023-01-01 01:15:00, 16528.82, 16531.61, 16521.31, 16525.68, 192.35882881,
2023-01-01 01:30:00, 16525.46, 16533.99, 16521.82, 16530.61, 101.24869449,
2023-01-01 01:45:00, 16530.61, 16547.6, 16528.54, 16542.69, 140.72798883,
2023-01-01 02:00:00, 16542.7, 16542.77, 16529.45, 16539.23, 146.89351958,
2023-01-01 02:15:00, 16539.1, 16546.24, 16535.63, 16543.89, 129.35899287,
2023-01-01 02:30:00, 16543.64, 16550, 16529.55, 16529.55, 119.39130353,
2023-01-01 02:45:00, 16529.38, 16538.6, 16528.75, 16538.6, 109.43106949,
2023-01-01 03:00:00, 16538.32, 16538.32, 16514.73, 16518.66, 231.38258091,
2023-01-01 03:15:00, 16518.66, 16521.6, 16510.09, 16520.67, 194.02789636,
2023-01-01 03:30:00, 16520.46, 16526.8, 16517.7, 16524.79, 107.45549777,
2023-01-01 03:45:00, 16524.79, 16526.61, 16518.83, 16523.3, 114.73946542,
2023-01-01 04:00:00, 16523.91, 16525.75, 16513.16, 16516.27, 117.99114744,
2023-01-01 04:15:00, 16516.04, 16519.94, 16505.76, 16507.99, 168.62933643,
2023-01-01 04:30:00, 16508.03, 16517.01, 16506.59, 16511.44, 168.88367914,
2023-01-01 04:45:00, 16511.45, 16516.03, 16502.66, 16511.71, 299.1571551,
2023-01-01 05:00:00, 16511.69, 16515, 16503.19, 16507.99, 148.45027259,
2023-01-01 05:15:00, 16507.99, 16513.75, 16503.75, 16511.9, 82.06661954,
2023-01-01 05:30:00, 16511.43, 16513.6, 16505.6, 16511.06, 50.40101509,
2023-01-01 05:45:00, 16510.72, 16524.84, 16508.73, 16521.08, 93.56881358,
2023-01-01 06:00:00, 16521.04, 16533.08, 16519.93, 16530.32, 78.21842069,
2023-01-01 06:15:00, 16529.66, 16540.57, 16529.66, 16535.66, 84.98568378,
2023-01-01 06:30:00, 16535.66, 16536.6, 16528.51, 16534.44, 85.56969539,
2023-01-01 06:45:00, 16534.85, 16536, 16528, 16532.17, 78.79580412,
2023-01-01 07:00:00, 16531.82, 16535.46, 16513.54, 16519.93, 129.72586717,
2023-01-01 07:15:00, 16520.12, 16520.12, 16490, 16513.31, 188.49201395,
2023-01-01 07:30:00, 16512.65, 16519.63, 16495.55, 16516.63, 90.11982214,
2023-01-01 07:45:00, 16516.13, 16522.66, 16511.68, 16516.36, 71.39149788,
2023-01-01 08:00:00, 16516.36, 16523.98, 16507.76, 16510.12, 60.57753203,
2023-01-01 08:15:00, 16509, 16517.04, 16503.59, 16515.12, 76.57636231,
2023-01-01 08:30:00, 16515.32, 16517.3, 16499.66, 16501.27, 66.56957659,
2023-01-01 08:45:00, 16500.65, 16506.54, 16498.84, 16504.22, 27.69539487,
2023-01-01 09:00:00, 16504.14, 16505.6, 16496.99, 16505.6, 40.66515257,
2023-01-01 09:15:00, 16504.84, 16513.87, 16504.3, 16506.52, 64.96551345
